#{"t_start": 1774783934.0679562, "env_id": "None"}
r,l,t
-6.649203,11,22.495137
-4.781347,10,22.508182
0.999216,12,22.519338
-6.172443,12,22.537029
-1.760238,12,22.549955
2.881577,12,22.557816
1.696804,10,22.569515
-6.075033,11,22.586123
3.514018,11,22.603166
3.858851,11,22.607732
-3.095688,12,22.61934
-6.718631,12,22.635968
-5.521222,11,22.65318
3.599996,12,22.657602
-6.074528,12,22.66934
0.633804,11,22.69565
-6.63468,11,22.70818
0.64845,12,22.723464
-0.04209,11,22.730821
-6.174022,11,22.747054
-0.508332,14,22.757829
-5.218785,10,22.769288
3.406517,11,22.769288
3.26867,11,22.792806
3.820325,10,22.803313
-4.739272,11,22.807726
3.794732,14,22.819367
-4.776375,10,22.836115
0.622831,11,22.836115
0.220415,12,22.857929
3.852247,10,22.86982
-4.771311,10,22.86982
3.000437,13,22.885988
-4.07542,10,22.903114
-6.112546,13,22.907945
2.000422,12,22.919363
-5.611356,13,22.936035
3.883238,10,22.936035
-1.459104,12,22.957734
-6.090198,11,22.967919
-3.774243,13,22.96939
3.43839,11,22.986059
3.434195,11,22.986059
2.449852,13,23.007819
-4.750569,11,23.019307
2.031701,14,23.035917
7.881586,12,23.035917
-5.648883,12,23.057807
-5.05927,13,23.069257
1.17368,13,23.069257
-4.677794,10,23.085878
3.453035,11,23.085878
-5.814899,9,23.111827
0.37505,12,23.129678
-5.84735,9,23.140508
-4.239391,11,23.153456
0.747307,11,23.169353
3.733568,12,23.186126
2.510458,15,23.207917
2.056199,12,23.221843
1.165723,10,23.232904
-5.258597,9,23.259846
0.820061,13,23.279467
3.509644,11,23.2947
-3.700558,11,23.307896
2.305941,12,23.319444
2.70716,10,23.336061
-3.265217,12,23.353283
3.859549,11,23.357944
7.885078,12,23.370813
9.772094,11,23.386256
1.330648,11,23.403219
1.605914,10,23.407938
0.112631,9,23.419443
-4.15426,10,23.436122
1.437914,13,23.457538
-4.298941,10,23.470097
0.654063,14,23.470097
-1.628163,11,23.48652
-6.075597,12,23.512259
3.672693,13,23.530792
1.945088,12,23.554859
3.389623,11,24.557833
-6.102078,11,24.57527
1.477111,10,24.585895
2.229335,10,24.587903
3.980024,10,24.612753
0.883961,10,24.626029
3.419641,10,24.638982
-4.2535,10,24.645084
0.034167,12,24.661815
3.46578,12,24.675605
3.838264,12,24.687885
0.215978,11,24.699909
-5.150172,9,24.70798
-5.196662,10,24.721171
1.366904,11,24.723175
1.867146,11,24.749894
4.865013,12,24.75974
-5.258151,9,24.769308
2.105009,11,24.769308
-5.677151,12,24.799351
2.959854,11,24.80759
1.773232,11,24.819427
-4.60849,10,24.835978
3.934436,10,24.835978
-0.261639,12,24.85798
-3.768667,11,24.869257
4.478531,13,24.885819
0.784516,9,24.904705
0.420299,10,24.914305
2.715686,10,24.923817
-3.695092,11,24.939891
4.951545,12,24.945631
-0.824651,8,24.957788
-0.039746,12,24.970045
3.480156,10,24.970045
3.979094,11,24.985993
3.872571,11,25.005748
10.016525,12,25.007824
-4.100095,11,25.019187
9.878956,11,25.035973
9.347323,11,25.035973
3.755839,12,25.057701
0.382095,13,25.069221
10.437469,13,25.069221
6.912863,12,25.08579
2.910209,9,25.101259
1.524112,12,25.107891
-3.218356,12,25.119111
9.364348,11,25.119111
8.795477,11,25.138418
1.836381,12,25.157805
2.99312,13,25.169854
3.307411,10,25.188825
-4.434782,12,25.188825
1.916763,12,25.219198
-1.404216,11,25.219198
3.920525,10,25.235991
4.828911,12,25.253
3.923961,11,25.257846
0.943995,11,25.279667
2.575525,10,25.293835
-4.140796,11,25.303135
2.811433,10,25.307673
-0.737223,14,25.319186
-4.373103,12,25.342098
1.907969,11,25.353507
2.872698,13,25.357812
3.984525,11,25.36949
3.030947,14,25.385845
-4.227603,11,25.385845
-5.266092,10,25.411064
-6.719615,10,25.42056
7.882781,12,25.42056
-6.728171,11,25.435995
3.338264,10,25.453091
1.64083,13,25.457832
1.145051,11,25.469234
1.389507,12,25.48584
0.714095,11,25.48584
-4.154856,10,25.507853
3.918945,10,25.507853
1.221151,13,25.519302
-4.229917,10,25.535877
9.444341,11,25.535877
-6.021852,11,25.557757
-3.090053,12,25.569224
1.73767,11,25.569224
-6.656237,12,25.58604
4.88154,12,25.58604
-3.290259,12,25.607721
7.657188,12,25.61931
3.486923,10,25.61931
3.896945,12,26.74112
2.033726,11,26.753061
3.464392,11,26.757644
1.810028,11,26.769272
9.324628,11,26.796382
