episode,deliveries_completed,fuel_used,steps_taken,reward
806,0,14.874,9,-1.34
807,0,15.8,10,-8.354
808,0,12.804,8,-5.027
809,0,18.985,11,-0.442
810,0,14.236,10,0.568
811,0,15.702,9,-0.545
812,0,12.148,7,-7.237
813,1,15.537,10,16.761
814,0,15.978,9,-0.443
815,0,14.212,8,-0.14
816,0,17.737,9,3.676
817,0,17.59,9,-6.553
818,0,14.884,8,-2.238
819,0,14.895,8,-1.743
820,0,16.375,11,-0.143
821,0,19.001,10,-0.717
822,2,15.357,10,33.828
823,0,17.987,11,-0.475
824,0,15.337,10,-8.162
825,0,19.132,12,3.624
826,0,14.526,9,-4.69
827,0,15.095,8,-6.467
828,0,16.274,10,6.495
829,0,15.328,8,3.317
830,0,17.595,12,0.768
831,1,18.747,11,7.729
832,0,19.349,11,-0.113
833,0,13.796,8,-5.324
834,0,12.594,8,-1.077
835,0,16.91,9,-4.773
836,0,17.648,9,4.334
837,1,15.838,9,16.931
838,1,19.065,12,14.706
839,0,12.956,9,-5.802
840,0,15.106,11,-3.276
841,0,14.385,8,-2.439
842,1,18.546,10,17.834
843,0,16.304,10,0.997
844,0,18.923,13,-4.296
845,1,12.878,8,10.744
846,0,17.1,10,6.378
847,0,16.642,10,-0.521
848,0,17.069,11,0.941
849,1,13.755,9,10.049
850,0,14.76,9,-10.137
851,0,14.222,8,-4.257
852,0,17.698,10,2.026
853,0,18.423,11,-5.217
854,1,19.474,12,12.595
855,1,15.836,10,14.358
856,0,17.538,9,1.69
857,0,18.538,10,1.918
858,2,17.437,10,35.242
859,0,17.454,11,1.803
860,0,14.193,9,-1.395
861,1,18.722,13,21.087
862,0,15.909,9,-2.141
863,0,17.76,10,-3.95
864,0,18.923,10,1.485
865,0,13.128,8,-3.36
866,1,18.827,12,10.34
867,0,16.566,11,-6.035
868,0,15.258,9,-5.811
869,1,17.562,11,14.933
870,0,17.358,11,4.203
871,0,18.048,11,0.031
872,0,14.511,8,-8.417
873,0,15.552,10,5.016
874,0,16.379,9,-7.145
875,0,16.305,10,-5.015
876,0,18.216,10,0.06
877,0,15.083,9,-1.615
878,0,17.746,10,2.967
879,1,12.479,9,19.839
880,0,16.786,9,-5.629
881,0,15.93,9,-4.643
882,1,19.226,11,18.418
883,0,14.322,8,-5.717
884,0,13.919,10,-7.303
885,0,16.454,10,-4.757
886,0,16.778,10,7.039
887,0,18.174,12,-4.831
888,1,17.298,9,18.886
889,0,19.035,12,-2.559
890,0,13.081,9,-0.03
891,1,13.671,8,16.65
892,0,17.572,11,5.509
893,0,17.758,9,5.706
894,0,15.994,9,-4.382
895,1,16.608,10,14.808
896,0,18.251,11,-1.344
897,1,16.706,9,16.66
898,0,12.627,8,0.255
899,0,17.827,13,4.355
900,0,14.216,9,-3.087
901,0,15.996,9,4.864
902,1,18.782,11,13.992
903,0,18.556,11,-2.479
904,0,16.129,10,2.49
905,1,17.359,10,7.259
906,0,13.13,9,1.93
907,0,16.503,9,-1.713
908,0,17.931,10,6.323
909,0,17.054,10,-2.144
910,0,12.438,7,-11.005
911,1,15.205,8,20.358
912,1,18.766,11,20.51
913,0,17.03,10,-2.214
914,0,16.028,10,-4.403
915,0,13.645,9,0.584
916,1,16.153,10,18.747
917,0,14.629,9,3.93
918,0,14.051,9,-6.099
919,0,13.315,9,5.132
920,0,18.514,12,-1.523
921,0,12.887,7,-6.239
922,0,14.17,10,-0.945
923,0,13.483,8,2.295
924,0,16.812,11,-2.031
925,0,15.168,9,0.649
926,1,15.245,10,16.575
927,0,14.855,9,-12.836
928,0,14.537,8,-7.509
929,0,15.132,10,3.657
930,0,14.503,10,2.492
931,0,13.685,7,-1.877
932,0,19.264,11,-5.576
933,0,14.376,8,3.424
934,1,14.66,8,11.123
935,0,13.884,9,-3.538
936,0,13.502,9,4.828
937,1,15.283,9,16.649
938,0,17.578,12,1.17
939,0,18.016,10,0.984
940,1,17.454,10,19.905
941,0,13.662,9,5.8
942,0,14.493,8,3.088
943,0,16.057,11,-7.484
944,0,16.403,9,2.895
945,0,16.002,10,-4.3
946,0,15.158,9,0.423
947,0,13.415,9,-4.892
948,0,15.115,10,6.611
949,0,14.344,9,-3.917
950,1,17.984,12,15.532
951,1,17.441,10,19.828
952,1,13.171,10,16.632
953,0,12.981,7,-10.159
954,0,12.63,9,-8.813
955,0,16.93,10,-3.308
956,1,16.754,10,19.069
957,0,15.772,10,-0.577
958,0,16.133,9,3.305
959,0,16.707,10,2.966
960,1,14.807,10,18.778
961,0,18.541,10,-2.332
962,0,15.233,9,-2.045
963,0,12.091,6,-1.52
964,1,15.493,11,7.097
965,1,18.369,10,13.973
