#{"t_start": 1774803535.6618693, "env_id": "None"}
r,l,t
0.89206,11,8.85612
-1.952641,8,8.866107
5.518007,9,8.878024
5.454629,9,8.889806
1.696436,11,8.90012
-4.328738,11,8.913311
4.480731,8,8.923532
1.440909,10,8.937125
-4.162276,10,8.946969
0.070421,9,8.95976
4.142098,8,8.968024
14.463151,8,8.980775
4.31105,10,8.991229
2.523499,11,9.004154
18.125366,9,9.016845
30.897405,10,9.034495
1.393658,8,9.046428
4.565874,10,9.059237
-2.951783,10,9.071902
-11.897968,12,9.08563
-0.154324,12,9.101763
0.816156,8,9.109286
20.825413,11,9.128879
3.488302,9,9.139515
-7.916182,11,9.150823
4.275871,9,9.166054
3.957082,9,9.170372
1.376927,9,9.188044
-0.748032,11,9.200169
1.739744,9,9.217007
-4.216078,10,9.235272
0.42565,10,9.239312
-0.713914,9,9.250839
-5.416665,11,9.266048
5.372543,9,9.278893
8.931164,10,9.296747
16.060589,9,9.309377
0.63965,8,9.324368
-2.160675,11,9.332867
-2.287311,8,9.341972
-5.043039,9,9.352316
-9.278445,11,9.369382
-0.520871,7,9.38082
16.725862,9,9.388174
-7.413067,10,9.39822
18.275847,11,9.413874
22.320824,9,9.431847
18.570657,9,9.442232
-2.021294,10,9.450801
-2.158799,10,9.462884
9.094492,11,9.481502
6.568598,10,9.494601
2.919152,9,9.50537
21.784158,10,9.511201
3.842433,11,9.521576
8.324603,13,9.53682
18.009223,9,9.547257
-1.973722,7,9.558227
14.165449,9,9.574326
-5.482608,8,9.587019
4.001752,8,9.603872
-2.552398,9,9.628599
-1.382942,7,9.641352
2.635344,10,9.6526
-3.767001,9,9.678448
-9.229888,12,9.696559
6.01702,11,9.710915
16.614647,7,9.716936
4.804956,9,9.719567
0.841748,10,9.728541
2.620845,9,9.738378
-6.355212,8,9.738378
20.756782,11,9.759327
1.251005,7,9.759327
2.34909,10,9.771729
16.407309,12,9.77868
6.088366,9,9.794033
-6.121544,11,9.803783
-3.228379,10,9.809255
19.037514,10,9.826257
12.002075,11,9.840976
-3.419036,10,9.849004
8.603357,11,9.859082
12.908364,12,9.867547
-1.483898,10,9.883243
5.015423,10,9.892479
1.407867,11,9.900012
1.095788,11,9.909166
-5.246563,10,9.921402
3.395194,9,9.929918
3.69777,10,9.940077
-1.56546,9,9.946264
0.202515,10,9.961453
-0.813668,8,9.972777
5.283768,9,9.98458
26.783279,14,10.000319
-6.687504,9,10.021307
-6.854175,9,10.03055
17.436401,12,10.044338
-12.557079,9,10.053068
-2.983206,12,10.065121
-2.305087,6,10.06892
-9.618626,11,10.080865
-4.292676,11,10.086529
82.682017,8,10.107728
21.143479,11,10.117242
0.10871,9,10.125906
-7.235863,11,10.135599
16.794043,9,10.14477
-1.345413,9,10.152909
-1.738737,9,10.159464
0.612603,10,10.17133
13.360573,11,10.184789
0.283122,9,10.195498
5.949284,10,10.203599
6.211453,11,10.214988
