deliveries_completed,fuel_used,steps_taken,reward
1,17.390768131024757,11,0.7859577603257133
1,19.249190241077287,10,0.871969964447155
1,18.41317826136901,11,1.4197847247910804
0,19.810278072525097,15,-10.12547653178852
0,18.900227533221805,12,-9.807577103475852
0,18.650658508824353,12,-15.265065850882436
0,19.843137004651485,12,-7.692975987374254
1,18.751532625845336,16,-7.364050711656554
0,19.722760330762362,11,-6.316724757612246
1,18.57049993406522,10,-1.2514987179425319
1,17.807960361573038,14,-2.869693485229326
0,19.85166085544736,16,-12.579614810080745
1,18.807454531427513,13,-4.625194177678761
0,19.685477648814647,14,-11.162996489417473
1,18.530845191039937,15,-0.1280499456758033
0,19.53266902276483,15,-10.097715626812493
0,19.361557878810885,13,-10.094818074790194
0,19.982783295253274,11,-7.256940616434433
1,18.428420710286908,10,1.1321925023994979
1,19.88517871535744,14,2.0083711170191414
0,18.742297761607514,12,-8.582892063069856
1,18.76670792155588,12,2.6983637812726027
0,17.566485000938485,13,-11.00109722462986
0,17.48730281428841,11,-7.716284631582511
0,19.51210113354125,13,-5.195658837890135
0,19.873941964242448,16,-14.081842920960256
2,19.382979929047107,13,5.922804558023268
0,18.726888973594754,11,-7.131351184268581
0,19.74811522347067,14,-14.274811522347065
1,18.601304841756313,11,2.986758504379253
1,18.317865680262642,12,-5.405848824232788
0,19.50364566030911,12,-4.744813290566922
0,18.800762832788834,12,-7.410592985314683
1,19.597180105476625,15,-5.104166735083673
1,17.911118725209878,14,-0.04228698176139112
1,19.176337221195073,13,-3.218808831359908
0,19.81492692799636,11,-5.062009394835437
0,19.377557739615646,14,-6.632204498497575
0,19.218946439259362,14,-13.616343368461946
0,18.923050391197435,13,-7.136753763655754
0,18.1507716146564,11,-7.987953010747841
1,17.80691154980105,11,-3.142694229669786
1,19.674908173930834,11,1.2936117335348953
1,19.026592716566334,11,1.8584432792713468
0,18.789158838016224,13,-3.537578170710727
1,18.728670358561274,12,1.0240219526987566
0,19.12285202433763,15,-7.056733926969773
0,19.255711411537717,12,-7.548446990435973
1,19.35351331647774,11,-0.6463847357193746
1,19.69842708829046,13,-4.608740157901068
0,17.842615555586985,14,-12.7147782575945
1,18.124000078502263,12,-5.163575117090628
1,18.915774573247415,11,2.8695250936032366
1,19.189618216942982,12,-0.27013693093469904
1,17.115238718510753,10,2.763510701577113
1,18.515381565537357,14,-1.1765035831255481
0,19.11862077187962,15,-9.21858846189235
0,19.277434900689595,10,-6.82219221460497
0,19.542971413482213,9,-5.312959428257326
0,19.284207076343055,14,-10.122869432170315
0,18.557751793236406,10,-8.85577517932364
0,19.217460278484715,13,-8.402262729884272
0,18.553765184850707,10,-4.664038805394175
0,18.14215375928541,13,-9.79473207796434
0,18.05435013779316,11,-8.478310863061516
0,18.060039632528746,14,-7.5004526877888855
1,18.847636108972733,12,-2.735938720137674
0,19.36926449154097,13,-7.181375173690107
1,18.38958841928973,10,0.2665924335350187
1,19.22814278035892,11,2.924074710518994
0,19.611283401399984,13,-6.367854724844387
1,17.87806668040913,13,-1.4267041171129335
1,18.02180296730398,12,1.272854276697796
0,19.73168642601167,13,-3.131830929510272
1,19.222754668371344,15,-2.461172915909154
0,18.639241402385075,12,-6.072586427147612
1,19.522810461102836,10,0.7588215048176945
0,18.903195808859806,13,-4.548981867795086
1,19.70053107172384,11,1.291049443755595
1,18.871154044872004,11,1.3739871464407791
1,19.616559668386333,12,-0.15055341591065208
0,19.24439529853257,12,-8.547315379135458
0,19.571631550606615,11,-4.215825441969767
1,18.258541058970536,13,0.7991804675311354
0,19.329984780164576,14,-7.627447202552467
0,18.74173125677034,13,-8.532835412586138
1,19.467199471011863,11,-2.7846369097659904
0,18.310978099179465,12,-11.287824194622337
1,19.5961460075119,12,3.1154199726769978
1,18.432911921501073,13,-0.8964022035952226
0,19.990818195400273,15,-10.379598521575828
0,18.271775563375513,13,-8.985839843246657
0,19.2497600057734,12,-9.04785184985954
0,18.479715670071986,12,-6.8784882690429985
1,19.600225570332444,16,-6.36313356847836
1,19.34960191120936,14,1.6477152350608542
1,18.401688163974786,11,0.25865607436211846
0,19.14478428814617,11,-4.758927153350628
1,19.45574775310119,13,2.5871006508716707
0,17.949941907450686,12,-6.5894429152810785
0,18.63035878495342,10,-8.863035878495342
1,18.796133712497156,10,1.595421202178473
1,19.047622616545194,11,0.19406262910507976
0,19.7036122521619,12,-7.179023512125295
1,17.03094655557258,12,-3.0542697647976587
0,19.38617873717054,13,-5.683066598253064
0,19.25517471341039,11,-7.506034173376839
1,18.8751884918487,11,0.21130604157472987
1,19.2168928928535,13,-2.0605867383573715
1,19.991984694396187,12,-2.350373578680019
0,19.193852791105886,12,-7.628047566019694
0,18.208105300492132,11,-6.993686379331413
0,17.2118083182882,12,-10.51562955636483
0,19.452507318516332,10,-4.753913018760739
1,19.192673987264296,14,1.1634080274553593
0,18.033342494499102,11,-5.061996536359015
1,18.8753241247543,12,0.31801886298856097
0,19.403282809685784,10,-5.248990567877683
0,17.991570114896493,12,-7.42203286077185
1,18.750941070500215,12,1.330457168413968
